lookback_months,holdings,rebalance,cost_bps,sharpe,cagr,ann_volatility,max_drawdown,calmar,sortino,ann_turnover,avg_exposure,n_periods
6,2,monthly,10,0.42639056750476295,0.051134964428839025,0.13998387494433537,-0.3690266518313634,0.13856713105970056,0.5919795736337495,7.444608567208272,0.7999999999999998,2708
6,2,monthly,20,0.37317751951572165,0.04333788356739232,0.13999555862748503,-0.37004922819744746,0.11711383314727113,0.5166938550122977,7.444608567208272,0.7999999999999998,2708
6,2,quarterly,0,0.27271266139530814,0.029196059345850678,0.14323165309039096,-0.38478641545416037,0.07587601373970232,0.37261938905121145,3.722304283604136,0.7999999999999998,2708
6,2,quarterly,5,0.25974396428872887,0.027284479543149054,0.14321770005472345,-0.3850362709550835,0.07086210209617351,0.35464846690552126,3.722304283604136,0.7999999999999998,2708
6,2,quarterly,10,0.24675892868423943,0.025375261800270055,0.14321176224567964,-0.38528612645600535,0.06586082409372085,0.33668458214778835,3.722304283604136,0.7999999999999998,2708
6,2,quarterly,20,0.220748555430349,0.02156390610152248,0.14322393494936128,-0.38578583745785,0.055896054255435174,0.3007874204937813,3.722304283604136,0.7999999999999998,2708
6,3,weekly,0,0.5932215891554737,0.08530836436125311,0.15953036078653401,-0.3917118511145592,0.2177834653675158,0.8216458577310464,12.779911373707533,1.0,2708
6,3,weekly,5,0.5531426939220202,0.0783959840036752,0.15953731184944603,-0.3941573683162426,0.19889513759077082,0.7648508620055214,12.779911373707533,1.0,2708
6,3,weekly,10,0.5130246970099024,0.07152519071936547,0.15955750911743388,-0.3965941464414223,0.18034857892167572,0.7081914178807917,12.779911373707533,1.0,2708
6,3,weekly,20,0.4327114867411984,0.057907424151769415,0.15963761886042369,-0.40144159517718114,0.1442486898404518,0.5953260822117923,12.779911373707533,1.0,2708
6,3,monthly,0,0.5165814419757571,0.07438944906850686,0.165445094799245,-0.43225970820621384,0.17209433971351923,0.7206051467420829,6.389955686853766,1.0,2708
6,3,monthly,5,0.4974271793304593,0.07097218069312206,0.16539282776329223,-0.43283145473976337,0.1639718646044187,0.6932457403897352,6.389955686853766,1.0,2708
6,3,monthly,10,0.478236412233959,0.06756425860691184,0.16534899461748045,-0.43340281729701347,0.15589252286888033,0.665894538197448,6.389955686853766,1.0,2708
6,3,monthly,20,0.43975694242199,0.06077636710155754,0.16528665554471902,-0.4345443909985309,0.13986227497241588,0.6112221141084607,6.389955686853766,1.0,2708
6,3,quarterly,0,0.37203859820119783,0.04915819265448662,0.16615991667983596,-0.43463746446329754,0.11310160000861529,0.5140619650481812,3.6602658788774,1.0,2708
6,3,quarterly,5,0.36105142096795256,0.0472422320921404,0.16614744065688059,-0.4350205350214734,0.10859770582969937,0.49860439021384056,3.6602658788774,1.0,2708
6,3,quarterly,10,0.35004846555142,0.04532859594062333,0.16614166986363663,-0.43540360557964974,0.10410707527393506,0.4831483693358047,3.6602658788774,1.0,2708
6,3,quarterly,20,0.3280005419776409,0.041508290573463835,0.16615024594914904,-0.43616974669600184,0.0951654508087512,0.4522418065267145,3.6602658788774,1.0,2708
6,4,weekly,0,0.5809363873699867,0.08170172324500546,0.15627439470783172,-0.37196539551844243,0.21964872063201,0.8078546009876798,11.306499261447565,1.0,2708
6,4,weekly,5,0.544747347717055,0.0756046431421944,0.15627837937357617,-0.3744877010795634,0.20188818731361083,0.7564205519693675,11.306499261447565,1.0,2708
6,4,weekly,10,0.5085287559005083,0.069540180202466,0.15629201321724528,-0.37700074763577895,0.1844563456135341,0.7050916447533448,11.306499261447565,1.0,2708
6,4,weekly,20,0.4360298139585195,0.057508445696475174,0.1563482165547271,-0.38199918710459835,0.15054598972413077,0.6027865127393575,11.306499261447565,1.0,2708
6,4,monthly,0,0.5007885006542961,0.07043455526343512,0.1622611000094313,-0.3916783246645841,0.17982755447024582,0.6989855968420842,5.071639586410636,1.0,2708
